lp,src,mt,ref,score,raw,annotators,domain,year,l1,l2
en-zh,"Police said in a statement at the time that they made the decision to end the search for Jacsun with a ""heavy heart,"" but noted they couldn't pinpoint a location in the landfill ""to a point that would make continuing the search reasonable.""",警方在当时的一份声明中表示，他们决定以“沉重的心情”结束对 Jacsun 的搜索，但指出他们无法确定垃圾填埋场的位置，“以至于继续搜索是合理的”。,警方在当时的一份声明中表示，他们在决定结束对杰森的搜寻时，是怀着“沉重的心情”的，并指出他们无法在垃圾填埋场里找出尸体的确切位置，因此“没有理由再继续搜寻下去”。,0.238989136138569,80.5,4,news,2020,en,zh
en-zh,"Trump will likely veto the resolution, the sixth time he will have blocked congressional legislation as president. He already vetoed a measure to end the emergency declaration in March.",特 朗 普 可 能 会 否 决 该 决 议 ， 这 是 他 第 六 次 以 总 统 身 份 阻 止 国 会 立 法 ， 他 已 经 在 3 月 份 否 决 了 一 项 结 束 紧 急 声 明 的 措 施 。,特朗普很可能行使总统否决权，这将是他成为总统以来第6次否决国会立法。他早在三月已动用否决权，否决国会终止紧急状态。,0.487842469977979,81.1666666666667,6,news,2020,en,zh
en-zh,The man arrived at work about 9.30am after failing to reply to several text messages and phone calls from colleagues.,该名男子未能回复同事的几条短信和电话，于上午9.30左右上班。,该男子大约在上午 9:30 到达工作单位，在此之前，他未能回复同事发来的几条信息和打来的电话。,0.469849745249097,80.5,4,news,2020,en,zh
en-zh,Are hopes for a nuclear-free world realistic?,对一个无核世界的希望是现实的吗 ？,实现无核化世界的希望是否现实？,0.626217925984697,81.0,4,news,2020,en,zh
en-zh,The California attorney general's office in March declined to issue state criminal charges after a nearly yearlong investigation. Attorney General Xavier Becerra said then evidence showed the officers had reason to believe their lives were in danger because he was advancing toward them holding what they thought was a gun. Investigators found only a cellphone.,"3月,加利福尼亚总检察长办公室在经过近一年的调查后拒绝提出州刑事指控,当时,总检察长Xavier Becerra说,证据显示,警察有理由相信他们的生命有危险,因为他正朝着他们看着他们认为是枪的方向前进,调查人员只找到了手机。",3 月，加州总检察长办公室在完成了近一年的案件调查后，拒绝对两名警察提起加州刑事起诉。总检察长哈维尔·贝赛拉指出，证据表明两位警官有理由相信他们的生命受到了威胁，因为当时该男子正向他们靠近，并且疑似手中持有枪支。调查发现他当时拿的是一部手机。,-0.207601771057855,59.0,4,news,2020,en,zh
en-zh,"He said he rejected the proposal because, ""under sanctions and maximum pressure,"" it would have been impossible to predict the end result of any negotiations.",他说，他拒绝了这一提议，因为“在制裁和最大压力下”，不可能预测任何谈判的最终结果。,他说他拒绝了这个提议，因为“在制裁和极端压力下”，不可能预测任何谈判的最终结果。,0.659565139434881,82.5,4,news,2020,en,zh
en-zh,"He added, ""@leondame MURDERED the catwalk @maisonmargiela. Guess it's true what they say. There ain't nothin"" like a DAME!""",他补充道 ， “@ leondame MURDERED 的时装秀 @ misonmargiela. 猜他们说的是真的 ， 没有什么“ 像 DAME ！ ”,他补充说：“@leondame 绝杀T台 @maisonmargiela。看来他们说的是真的。什么都比不上达姆！”,-1.02586570614239,36.8,5,news,2020,en,zh
en-zh,"Earlier, Baloch's mother Anwar Mai told AFP she had hoped her son would be acquitted.","早些时候,巴洛克的母亲安瓦尔·马伊告诉菲律宾武装部队,她希望她的儿子被宣告无罪。",早些时候，巴洛赫的母亲安瓦尔·迈告诉 AFP，她曾希望儿子能被无罪释放。,0.0923669087697411,70.75,4,news,2020,en,zh
en-zh,"""My wife writes down the numbers for me during the drawing,"" Lancaster said. ""When she handed me the paper, so I could check my ticket, I couldn't believe it. One of my lines matched five numbers and the other ones matched four numbers. I started shouting, 'I got it! I got it! I hit the lottery!'""","′′我的妻子在画中为我写下了数字,""兰开斯特说. ′′当她把纸递给我, 所以我可以检查我的票, 我简直不敢相信. 我的一个台词匹配五个数字, 其他台词匹配四个数字. 我开始大喊我明白了! 我知道了! 我中奖了! ' ′′",Lancaster说：“我妻子在开奖的时候为我抄下了数字。她把纸条递来给我核对自己的彩票，我简直不敢相信。我有一组5个数字全中，其他的中了4个数字，我开始大喊：‘我中了！我中了！我中奖了！’”,-0.595130519003712,47.0,4,news,2020,en,zh
en-zh,Miller was one of several musicians whose deaths have been linked in recent years to a national wave of opioid abuse and overdoses.,米勒是近年来与全国阿片类药物滥用和过量使用有关的几位音乐家之一。,Miller是近几年死因牵涉全国鸦片类药物泛滥和使用过量的音乐人之一。,0.551309805145821,91.75,4,news,2020,en,zh
en-zh,"It said its medical delegate had assured athletes that weather conditions would be monitored all day and reported to the teams ""to ensure the event is run at an acceptable level of health risk.""","它说,它的医疗代表向运动员保证,天气状况将受到全天监测,并向小组报告,""以确保活动在可以接受的健康风险水平上进行""。",其还表示，该机构的医疗代表已向田径运动员保证，将全天监测天气状况并向相应团队报告以“确保各个赛事以允许的健康风险水平进行”。,0.541873891184436,79.625,8,news,2020,en,zh
en-zh,"Police said in a statement at the time that they made the decision to end the search for Jacsun with a ""heavy heart,"" but noted they couldn't pinpoint a location in the landfill ""to a point that would make continuing the search reasonable.""",警方当时在一份声明中表示，他们怀着“沉重的心情”做出了结束对Jacsun的搜索的决定，但指出他们无法确定垃圾填埋场的位置，“到了可以让继续搜索变得合理的程度”。,警方在当时的一份声明中称，他们怀着“沉重的心情”决定结束对雅克森的搜索，但指出，因为他们无法在垃圾掩埋场精确找出位置，“已没有合理的理由继续进行搜索。”,0.320210045463461,83.75,4,news,2020,en,zh
en-zh,Meghan to 'fulfil her heart's desires' and refuses let own needs 'fade away' amid her royal duties,梅根（Meghan）在履行王室职责时“履行自己的内心渴望”并拒绝让自己的需求“淡化”,梅根王妃：追求内心的渴望，纵使王室责任也不能将其淹没,0.237942166651288,63.5,4,news,2020,en,zh
en-zh,"In a rare move, Saudi Arabia last year began issuing temporary visas to visitors to attend sporting and cultural events in a bid to kickstart tourism.",在一次罕见的行动中 ， 沙特阿拉伯去年开始向游客发放临时签证 ， 以参加体育和文化活动 ， 以启动旅游业。,沙特去年开始向游客发放临时签证，让他们参加体育和文化活动，以启动旅游业，这是一项罕见的举措。,0.406988859043107,75.5,4,news,2020,en,zh
